Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-01-07 17:30:57,false,"Treadmill Running","4.00","474","00:39:53","153","163","3.7","154","161","9:58","8:20","--","--","1.15","9.0","10.4","290","--","300","0.0","299","339","6,076","No","00:03:31.1","5","00:39:51","00:39:53","--","--"
Treadmill Running,2025-01-06 14:42:36,false,"Threshold","7.00","708","00:59:28","156","170","4.5","157","173","8:30","6:58","--","--","1.12","8.9","9.9","283","--","299","0.0","291","406","9,330","No","00:00:09.8","10","00:59:01","00:59:28","--","--"
Treadmill Running,2025-01-05 08:05:30,false,"Base","3.20","298","00:30:12","133","141","2.6","156","165","9:26","8:23","--","--","1.10","9.0","10.0","284","--","289","0.0","287","344","4,716","No","00:00:12.2","5","00:30:02","00:30:12","--","--"
Treadmill Running,2025-01-04 14:41:44,false,"Long Run","14.72","1,393","02:19:23","144","156","4.0","155","163","9:28","8:21","--","--","1.13","9.0","10.2","287","--","296","0.0","296","344","21,428","No","00:04:06.6","16","02:19:19","02:19:23","--","--"
Treadmill Running,2025-01-03 14:22:06,false,"Threshold","5.99","672","00:55:08","155","171","4.3","156","167","9:12","7:46","--","--","1.12","9.0","10.0","285","--","299","0.0","297","355","8,558","No","00:00:11.3","9","00:55:02","00:55:08","--","--"
Treadmill Running,2025-01-02 18:08:51,false,"Treadmill Running","3.08","274","00:30:10","130","139","2.3","153","161","9:48","8:57","--","--","1.08","9.3","10.1","294","--","267","0.0","265","306","4,578","No","00:00:53.3","4","00:29:57","00:30:10","--","--"
Treadmill Running,2025-01-01 18:45:43,false,"Recovery","2.97","287","00:31:57","134","150","2.6","151","159","10:45","9:13","--","--","0.99","9.7","9.7","305","--","243","0.0","242","306","4,814","No","00:01:10.4","4","00:31:50","00:31:57","--","--"
Treadmill Running,2024-12-31 14:36:57,false,"Recovery","2.03","177","00:20:12","126","135","2.0","155","160","9:57","9:01","--","--","1.08","9.2","10.0","290","--","272","0.0","271","294","3,110","No","00:00:11.8","4","00:20:10","00:20:12","--","--"
Running,2024-12-30 15:07:34,false,"Pittsburgh - Recovery","5.08","595","00:58:15","146","168","3.4","150","160","11:28","4:29","364","381","0.93","10.0","9.3","312","11:18","253","0.0","248","539","8,702","No","00:04:20.7","6","00:58:04","00:58:15","904","1,099"
Running,2024-12-28 13:16:31,false,"Pittsburgh - Base","13.55","1,436","02:10:51","149","165","5.0","153","172","9:39","7:04","699","699","1.09","9.3","10.1","294","9:36","292","0.0","287","443","19,946","No","00:06:49.3","14","02:10:02","02:12:01","921","1,133"
